LIN,CODIGO,RAMO,NOM_ART,TAM,PRES,UNIDAD,CCJ_CON,CCJ_SIN,CU_CON,CU_SIN,PREV_CON,PREV_SIN,FECH_AN,FECH_AC,IVA,GAN,EXIS,UBICA,STK,PROV,SI
ABA,7501003337887,ESPECIES,ABLANDADOR P/CARNE 155 G,155 G,1,FCO,0.00,10.50,0.00,10.50,0.00,13.50,03/01/2011,03/01/2011,0,28.6,2,,0,GARIS,
ABA,7501017375189,PAÑALES,ABSOR-SEC GDE 14 P,GDE,6,PQT,190.00,163.79,31.67,27.30,39.00,33.62,31/01/2011,31/01/2011,16,23.2,6,,0,GARIS,
ABA,7501017372751,PAÑALES,ABSOR-SEC GDE 40 P,40 PZA,5,PZAS,418.00,360.34,83.60,72.07,100.00,86.21,10/03/2011,10/03/2011,16,19.6,-75,,0,GARIS,
ABA,7501943441408,PAÑALES,ABSOR-SEC JUMBO 14 P,JUMBO,6,PQTE,215.00,185.34,35.83,30.89,43.00,37.07,19/01/2011,26/01/2011,16,20.0,2,,0,GARIS,
ABA,7501017372775,PAÑALES,ABSOR-SEC JUMBO 5/40,JUMBO,5,PQT,469.00,404.31,93.80,80.86,115.00,99.14,06/04/2011,06/04/2011,16,22.6,-218,,0,GARIS,
ABA,7501017375165,PAÑALES,ABSOR-SEC MED 6/14,MED,6,PQT,166.00,143.10,27.67,23.85,33.00,28.45,16/03/2011,16/03/2011,16,19.3,-163,,0,GARIS,
ABA,75005443,ACEITE,ACEITE 123/500 ML,500 ML,24,BOTELLA,0.00,250.00,0.00,10.42,0.00,12.50,02/04/2011,02/04/2011,0,20.0,-630,,0,GARIS,
ABA,7502218211542,ACEITE,ACEITE COCINERA 946 L,946 ML,12,BOTELLA,126.00,207.00,10.50,17.25,12.50,20.50,18/12/2010,18/12/2010,0,18.8,-374,,0,GARIS,
ABA,75002343,ACEITE COM,ACEITE 123 1 L,1L,12,PZA,0.00,244.50,0.00,20.38,0.00,24.00,07/04/2011,07/04/2011,0,17.8,-206,,2,GARIS,
BEB,7501035908246,ACEITE,MENNEN 100 ML ACEITE BEBE,100 ML,1,BOTELLA,16.50,14.22,16.50,14.22,21.00,18.10,17/01/2011,17/01/2011,16,27.3,2,,0,GARIS,
PER,7501035908239,ACEITE,MENNEN 50 ML ACEITE BEBE.,50 ML,1,BOTELLA,11.50,9.91,11.50,9.91,14.50,12.50,10/01/2011,17/01/2011,16,26.1,10,,0,GARIS,
ABA,7503009023016,,ACEITE SALVADOR MINI,MINI,12,PZA,0.00,27.50,0.00,2.29,0.00,3.00,23/03/2011,23/03/2011,0,30.9,4,,0,GARIS,
PER,7501056319298,,BRUT STICK 60 G FABERGE ROJO,60 G,1,PZA,20.00,17.24,20.00,17.24,25.50,21.98,28/03/2010,08/04/2010,16,27.5,6,,2,GARIS,
PAP,7501174967517,GENERAL,ACUARELA BACO C/12 BARRILITO,12,1,PZA,13.50,11.64,13.50,11.64,20.00,17.24,30/07/2009,25/08/2010,16,48.1,20,,1,D F,
DUL,7501597101017,CARMELOS,ACUARIO CARAMELO C/100 430 G,430 G,1,BOLSA,0.00,13.50,0.00,13.50,0.00,17.50,23/04/2009,23/04/2009,0,29.6,-3,,0,GARIS,
ABA,7501052470016,,ADEREZO 237 ML CESAR,237,1,PZA,0.00,12.30,0.00,12.30,0.00,15.50,24/03/2011,24/03/2011,0,26.0,-9,,2,GARIS,
ABA,7501052470061,,ADEREZO 235 ML ISLAS,236,1,PZA,0.00,12.30,0.00,12.30,0.00,15.50,23/03/2011,23/03/2011,0,26.0,-44,,2,GARIS,
FAR,7501400800564,,AGIN TABLETAS,300 MG,20,PZA,0.00,44.90,0.00,2.25,0.00,3.00,21/07/2009,21/07/2009,0,33.6,0,,0,GARIS,
ABA,7501621102133,BEBIDAS,CRISTALIN 250 ML FRUTAS,250 ML,20,BOTELLA,84.00,72.41,4.20,3.62,5.30,4.57,22/07/2010,22/07/2010,16,26.2,-6,,0,CRIST,
ABA,7501621102508,BEBIDAS,CRISTALIN 250 ML NAJA,250 ML,20,BOTELLA,84.00,72.41,4.20,3.62,5.30,4.57,22/07/2010,22/07/2010,16,26.2,-48,,0,CRIST,
ABA,7501621100139,BEBIDAS,CRISTALIN 250 ML PIÑA,250 ML,20,BOTELLA,84.00,72.41,4.20,3.62,5.30,4.57,22/07/2010,22/07/2010,16,26.2,8,,0,CRIST,
ABA,7501621102096,BEBIDAS,CRISTALIN 250 ML MANGO,250 ML,20,BOTELLA,84.00,72.41,4.20,3.62,5.30,4.57,22/07/2010,22/07/2010,16,26.2,-315,,0,CRIST,
ABA,7501621101419,BEBIDAS,CRISTALIN 250 ML PIÑA/COCO,250 ML,20,BOTELLA,84.00,72.41,4.20,3.62,5.30,4.57,22/07/2010,22/07/2010,16,26.2,-283,,0,CRIST,
ABA,7501621105011,BEBIDAS,CRISTALIN 500 ML C/CH NARA,500 ML,20,BOTELLA,110.00,94.83,5.50,4.74,6.80,5.86,18/03/2010,18/03/2010,16,23.6,-189,,0,CRIST,
ABA,7501621101396,BEBIDAS,CRISTALIN 500 ML PIÑA/COCO,500 ML,20,BOTELLA,110.00,94.83,5.50,4.74,6.80,5.86,18/03/2010,18/03/2010,16,23.6,-124,,0,CRIST,
ABA,7501055310883,BEBIDAS,CIEL AGUA 1 LT,1 L,12,PZA,0.00,70.00,0.00,5.83,0.00,7.00,22/04/2010,22/04/2010,0,20.0,-33,,0,COCA,
FAR,7501254500153,VARIOS,AGUA OXIGENADA 120 ML,120 ML,1,PZA,4.00,3.45,4.00,3.45,5.50,4.74,16/02/2011,17/02/2011,16,37.4,11,,2,GARIS,
MER,0,,AGUJA CANEVA C/P Y S/P EAGLE,C/P S/P,250,PZA,92.00,79.31,0.37,0.32,0.80,0.69,12/04/2010,12/04/2010,16,117.4,-1,,5,MARBE,
MER,0,,AGUJA CANEVA PLASTICO,,250,PZA,21.50,18.70,0.09,0.07,0.50,0.43,11/02/2005,11/02/2005,16,481.4,200,,50,MARBE,
MER,0,,AGUJA P/TEJER No 2.5,2.5,10,PARES,89.00,77.39,8.90,7.74,12.50,10.87,14/08/2007,19/04/2009,16,40.4,10,,2,MARBE,
MER,0,COSTURA,AGUJA P/MAQUINA C/U,14,1,PZA,6.89,5.94,6.89,5.94,12.50,10.77,11/12/2010,11/12/2010,16,81.4,0,,1,MBZ,
MER,0,,AGUJETAS REDONDA 60 CTM,CH,144,PARES,29.50,25.43,0.20,0.18,1.00,0.86,24/04/2010,24/04/2010,16,388.1,72,,0,MARBE,
MER,0,AGUJETAS,AGUJETAS REDONDA 120 CMT,GDE,72,PARES,59.00,51.30,0.82,0.71,2.50,2.17,26/10/2009,26/10/2009,16,205.1,0,,0,MBZ,
